year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1981,Annual,107,Point,0,0.613549,0,0,0
1981,Annual,108,Point,0,1.749103,0,0,0
1981,Annual,109,Point,0,0.755541,0,0,0
1981,Annual,110,Point,0,0.125312,0,0,0
1981,Annual,112,Point,0,1.89239,0,0,0
1981,Annual,115,Point,0,0.097078,0,0,0
1981,Annual,116,Point,0,0.289001,0,0,0
1981,Annual,117,Point,0.001203,0.120721,0,0,0
1981,Annual,252,Point,0,8.786551,0,0,0
1981,Annual,253,Point,0,1.4722,0,0,0
1981,Annual,256,Point,0,0.810311,0,0,0
1981,Annual,257,Point,0,0.13816,0,0,0
1981,Annual,258,Point,0,0.304055,0,0,0
1981,Annual,259,Point,0,0.038918,0,0,0
1981,Annual,260,Point,0,1.595203,0,0,0
1981,Annual,261,Point,0,0.020332,0,0,0
1981,Annual,262,Point,0,0.350764,0,0,0
1981,Annual,263,Point,0,0.010362,0,0,0
1981,Annual,264,Point,0,0.02056,0,0,0
1981,Annual,265,Point,0,0.014347,0,0,0
1981,Annual,266,Point,0,0.031499,0,0,0
1981,Annual,267,Point,0,0.004565,0,0,0
1981,Annual,268,Point,0,2.894264,0,0,0
1981,Annual,269,Point,0,0.224237,0,0,0
1981,Annual,270,Point,0,0.090217,0,0,0
1981,Annual,271,Point,0,0.005741,0,0,0
1981,Annual,272,Point,0,4.601144,0,0,0
1981,Annual,273,Point,0,1.872989,0,0,0
1981,Annual,274,Point,0,5.084568,0,0,0
1981,Annual,275,Point,0,1.658792,0,0,0
1981,Annual,276,Point,0,0.090552,0,0,0
1981,Annual,277,Point,0,0.008112,0,0,0
1981,Annual,278,Point,0,0.102924,0,0,0
1981,Annual,279,Point,0,0.051479,0,0,0
1981,Annual,280,Point,0,2.039802,0,0,0
1981,Annual,281,Point,0,0.257119,0,0,0
1981,Annual,282,Point,0.00036,2.094665,0,0,0
1981,Annual,290,Point,0.024176,0.024271,0.607006,0.024368,0.59646
1981,Annual,291,Point,0.505752,0.992473,9.790272,0.332087,2.582131
1981,Annual,292,Point,0.043478,0.290974,0.601289,0.050137,0.305332
1981,Annual,293,Point,0.74,0.43,34.900002,0.15,9.959999
1981,Annual,297,Point,0.028463,0.00345,0.172213,0.29256,0.01495
1981,Annual,298,Point,0.96,0.36,23.209999,1.34466,2.74
1981,Annual,299,Point,1.3535,0.507255,11.784323,1.770081,2.298797
1981,Annual,300,Point,0.002446,0.022016,0.677731,0.052152,0.110017
1981,Annual,301,Point,0.001438,0.015046,0.074335,0.726131,0.115549
1981,Annual,302,Point,0,0,0,0,0.000148
1981,Annual,303,Point,0.1207,3.351273,7.238152,0.065783,6.962472
1981,Annual,304,Point,0.05,0.05,0.57,0.04,0.15
1981,Annual,305,Point,0.11,0.08,1.89,0.06,1.01
1981,Annual,306,Point,0.055349,0.052803,0.057515,0.010759,0.101927
1981,Annual,307,Point,0.144018,0.195221,13.730961,0.024501,2.422294
1981,Annual,308,Point,0.000276,0.000303,0.015352,0.000465,0.001682
1981,Annual,309,Point,0.013041,0.006019,0.178519,0.11106,0.037395
1981,Annual,310,Point,0.00011,0.000018,0.00126,0.001287,0.000092
1981,Annual,311,Point,0.014615,0.264924,1.273586,0.614295,1.615375
1981,Annual,312,Point,0.040767,0.021362,0.330227,0.102436,0.189859
1981,Annual,314,Point,0.002061,0.018283,0.126033,0.003557,0.000588
1981,Annual,796,Point,0,2.918302,0,0,0
1981,Annual,799,Point,0,0.00183,0,0,0
1981,Annual,800,Point,0,1.71801,0,0,0
1981,Annual,898,Point,0,23.14587,0,0,0
1981,Annual,937,Point,0.019417,8.335676,0,0,0
1981,Annual,938,Point,0,0.042259,0,0,0
1981,Annual,968,Point,0.002868,0.008829,3.94,0.001056,0.07
1981,Annual,1157,Point,3.506304,622.310913,0,0.000096,0
1981,Annual,1241,Point,0,2.991458,0.002254,0,0
1981,Annual,1243,Point,0,6.61545,0,0,0
1981,Annual,1245,Point,0,0.914021,0,0,0
1981,Annual,1595,Point,0,0,0.01,0,0
1982,Annual,10,Point,1.031338,0.706632,0.283935,20.104271,0
1982,Annual,11,Point,0,8.01,0,0,0
1982,Annual,12,Point,0,0.08314,0,0,0
1982,Annual,13,Point,0,1.22,0,0,0
1982,Annual,14,Point,0,0.011111,0,0,0
1982,Annual,15,Point,0.08,14.49,2.09,12,0.99
1982,Annual,16,Point,0.079129,0.366464,0.031703,0.019761,0.029556
1982,Annual,17,Point,0,38.441147,0,0,0
1982,Annual,18,Point,0,8.384853,0,0,0
1982,Annual,19,Point,0,0.668328,0,0,0
1982,Annual,20,Point,0,0.001768,0,0,0
1982,Annual,21,Point,0.003675,0.013126,0.03017,0.557092,0.022062
1982,Annual,22,Point,0.097018,0.000328,0,1.341692,0
1982,Annual,23,Point,0.036158,0.825016,0,0,0
1982,Annual,24,Point,0.001075,0.015469,0,0,0
1982,Annual,25,Point,0.00149,0.054275,0,0,0
1982,Annual,26,Point,0.638642,0.342158,1.046535,2.84913,16.88401
1982,Annual,28,Point,0.011819,0.726666,0,0,0
1982,Annual,31,Point,0.00001,0.00266,0,0,0
1982,Annual,32,Point,0.044596,0.020728,0,0,0
1982,Annual,33,Point,3.440022,0.1789,0.012488,0.008546,0.100727
1982,Annual,34,Point,3.534914,0.391129,0.034318,0.00023,0.007928
1982,Annual,35,Point,0.007225,0,0,0,0
1982,Annual,36,Point,0.777336,0.02414,0,0,0
