year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,676,Area,0,0,0,0.000062,0
1980,Annual,679,Area,0.003027,0.01753,0.029566,0.00011,0.04655
1980,Annual,682,Area,0.01,0.03,0.02,0,0.07
1980,Annual,687,Area,0.009501,0.044185,0.022076,0.003373,0.087226
1980,Annual,694,Area,0.002058,0.009888,0.004752,0.000723,0.015486
1980,Annual,699,Area,0.001986,0.01,0.01,0.001031,0.02
1980,Annual,702,Area,0.000828,0.02,0,0.00038,0.02
1980,Annual,705,Area,0.00057,0.01,0.01,0.000301,0.02
1980,Annual,708,Area,0.020529,0.105113,0.050839,0.007833,0.221165
1980,Annual,711,Area,0.000042,0.001547,0.000309,0.000025,0.119155
1980,Annual,744,Area,19.579155,0,0,0,0
1980,Annual,745,Area,18.864403,0,0,0,0
1980,Annual,746,Area,5.153535,0,0,0,0
1980,Annual,747,Area,7.904544,0,0,0,0
1980,Annual,748,Area,11.968248,0,0,0,0
1980,Annual,749,Area,2.74914,0,0,0,0
1980,Annual,750,Area,0.16127,0.207129,0.059616,0,2.503893
1980,Annual,753,Area,0.022617,0.007197,0.000931,0,0.028271
1980,Annual,754,Area,84.046021,0,0,0,0
1980,Annual,755,Area,10.651363,0,0,0,0
1980,Annual,756,Area,3.831689,0,0,0,0
1980,Annual,757,Area,0.002042,0,0,0,0
1980,Annual,758,Area,0.490891,0,0,0,0
1980,Annual,760,Area,5.752826,12.031715,0,0,0
1980,Annual,761,Area,0,0.113775,0,0,0
1980,Annual,764,Area,12.014994,0,0,0,0
1980,Annual,765,Area,1.722179,0,0,0,0
1980,Annual,766,Area,1.026709,0.075517,0.048275,0,0.892783
1980,Annual,784,Area,0,57.043343,0,0,0
1980,Annual,785,Area,0,18.478371,0,0,0
1980,Annual,786,Area,0,19.992908,0,0,0
1980,Annual,787,Area,0,14.745668,0,0,0
1980,Annual,868,Area,0,27.449654,0,0,0
1980,Annual,935,Area,0,0.393305,0,0,0
1980,Annual,936,Area,0.229539,0.448777,10.532595,0.804857,1.404013
1980,Annual,939,Area,0,0.139722,0,0,0
1980,Annual,940,Area,0,0.225818,0,0,0
1980,Annual,1010,Area,0,0.077015,0,0,0
1980,Annual,1011,Area,0,1.790248,0,0,0
1980,Annual,1012,Area,0,1.982872,0,0,0
1980,Annual,1014,Area,0,0.380972,0,0,0
1980,Annual,1015,Area,0,1.315937,0,0,0
1980,Annual,1016,Area,0,3.585971,0,0,0
1980,Annual,1019,Area,0,2.408975,0,0,0
1980,Annual,1020,Area,0,0.485146,0,0,0
1980,Annual,1021,Area,0,0.912774,0,0,0
